location,date,origin,entries
Rennes les champs libres,2010-11-13,rdc 3,1754
Rennes les champs libres,2010-11-14,rdc 3,1901
Rennes les champs libres,2010-11-16,rdc 3,1895
Rennes les champs libres,2010-11-17,rdc 3,1697
Rennes les champs libres,2010-11-18,rdc 3,1421
Rennes les champs libres,2010-11-19,rdc 3,1443
Rennes les champs libres,2010-11-20,rdc 3,2076
Rennes les champs libres,2010-11-21,rdc 3,1990
Rennes les champs libres,2010-11-23,rdc 3,1959
Rennes les champs libres,2010-11-24,rdc 3,1886
Rennes les champs libres,2010-11-25,rdc 3,1287
Rennes les champs libres,2010-11-26,rdc 3,1454
Rennes les champs libres,2010-11-27,rdc 3,1903
Rennes les champs libres,2010-11-28,rdc 3,1715
Rennes les champs libres,2010-11-30,rdc 3,1965
Rennes les champs libres,2010-12-01,rdc 3,1599
Rennes les champs libres,2010-12-02,rdc 3,1255
Rennes les champs libres,2010-12-03,rdc 3,1285
Rennes les champs libres,2010-12-04,rdc 3,1830
Rennes les champs libres,2010-12-05,rdc 3,1881
Rennes les champs libres,2010-12-07,rdc 3,2129
Rennes les champs libres,2010-12-08,rdc 3,1644
